year,type,money
2007,Baseball,50.43
2007,Baseball,50.53
2007,Baseball,51.09
2007,Baseball,51.12
2007,Baseball,51.53
2007,Baseball,51.94
2007,Baseball,52.08
2007,Baseball,52.82
2007,Baseball,53.52
2007,Baseball,53.65
2007,Baseball,53.67
2007,Baseball,53.95
2007,Baseball,54.62
2007,Baseball,54.76
2007,Baseball,55.04
2007,Baseball,55.47
2007,Baseball,55.71
2007,Baseball,56.5
2007,Baseball,56.78
2007,Baseball,56.91
2007,Baseball,57.28
2007,Baseball,57.29
2007,Baseball,57.71
2007,Baseball,57.74
2007,Baseball,57.84
2007,Baseball,57.88
2007,Baseball,58.09
2007,Baseball,58.22
2007,Baseball,58.83
2007,Baseball,59.35
2007,Baseball,59.38
2007,Baseball,59.51
2007,Baseball,59.63
2007,Baseball,59.67
2007,Baseball,59.73
2007,Baseball,59.79
2007,Baseball,59.82
2007,Baseball,59.9
2007,Baseball,60.14
2007,Baseball,60.4
2007,Baseball,60.45
2007,Baseball,61.37
2007,Baseball,61.42
2007,Baseball,61.43
2007,Baseball,61.46
2007,Baseball,61.58
2007,Baseball,61.66
2007,Baseball,61.69
2007,Baseball,61.95
2007,Baseball,62.13
2007,Baseball,62.16
2007,Baseball,62.37
2007,Baseball,62.39
2007,Baseball,62.48
2007,Baseball,62.72
2007,Baseball,62.83
2007,Baseball,63.26
2007,Baseball,63.56
2007,Baseball,63.68
2007,Baseball,63.93
2007,Baseball,63.99
2007,Baseball,64.07
2007,Baseball,64.1
2007,Baseball,64.44
2007,Baseball,64.86
2007,Baseball,64.96
2007,Baseball,65.07
2007,Baseball,65.09
2007,Baseball,65.83
2007,Baseball,66.09
2007,Baseball,66.21
2007,Baseball,66.45
2007,Baseball,66.56
2007,Baseball,67.6
2007,Baseball,68.04
2007,Baseball,68.15
2007,Baseball,68.17
2007,Baseball,68.24
2007,Baseball,68.65
2007,Baseball,68.8
2007,Baseball,68.82
2007,Baseball,68.85
2007,Baseball,69.28
2007,Baseball,69.32
2007,Baseball,69.72
2007,Baseball,70.16
2007,Baseball,70.31
2007,Baseball,70.32
2007,Baseball,70.58
2007,Baseball,71.16
2007,Baseball,71.17
2007,Baseball,71.17
2007,Baseball,71.48
2007,Baseball,71.5
2007,Baseball,71.56
2007,Baseball,71.69
2007,Baseball,71.74
2007,Baseball,72.17
2007,Baseball,72.44
2007,Baseball,72.48
2007,Baseball,72.66
2007,Baseball,72.79
2007,Baseball,72.94
2007,Baseball,72.95
2007,Baseball,72.96
2007,Baseball,73.04
2007,Baseball,73.15
2007,Baseball,73.16
2007,Baseball,73.46
2007,Baseball,73.58
2007,Baseball,73.78
2007,Baseball,73.94
2007,Baseball,74
2007,Baseball,74.17
2007,Baseball,74.55
2007,Baseball,74.72
2007,Baseball,75.05
2007,Baseball,75.06
2007,Baseball,75.11
2007,Baseball,75.42
2007,Baseball,75.45
