books,attend,grade,zbooks,zattend,zattendlo,zattendhi
4,18,56,1.396424004,0.911736812,1.911736812,-0.088263188
0,19,64,-1.396424004,1.145515481,2.145515481,0.145515481
4,11,47,1.396424004,-0.724713876,0.275286124,-1.724713876
1,19,45,-0.698212002,1.145515481,2.145515481,0.145515481
2,15,97,0,0.210400803,1.210400803,-0.789599197
0,8,66,-1.396424004,-1.426049885,-0.426049885,-2.426049885
0,11,37,-1.396424004,-0.724713876,0.275286124,-1.724713876
2,20,54,0,1.379294151,2.379294151,0.379294151
1,20,51,-0.698212002,1.379294151,2.379294151,0.379294151
2,16,88,0,0.444179472,1.444179472,-0.555820528
3,20,92,0.698212002,1.379294151,2.379294151,0.379294151
3,15,89,0.698212002,0.210400803,1.210400803,-0.789599197
2,8,66,0,-1.426049885,-0.426049885,-2.426049885
0,6,61,-1.396424004,-1.893607224,-0.893607224,-2.893607224
4,10,65,1.396424004,-0.958492545,0.041507455,-1.958492545
4,20,94,1.396424004,1.379294151,2.379294151,0.379294151
0,9,45,-1.396424004,-1.192271215,-0.192271215,-2.192271215
1,10,41,-0.698212002,-0.958492545,0.041507455,-1.958492545
2,11,43,0,-0.724713876,0.275286124,-1.724713876
3,17,87,0.698212002,0.677958142,1.677958142,-0.322041858
0,10,45,-1.396424004,-0.958492545,0.041507455,-1.958492545
3,16,56,0.698212002,0.444179472,1.444179472,-0.555820528
0,10,62,-1.396424004,-0.958492545,0.041507455,-1.958492545
4,12,58,1.396424004,-0.490935206,0.509064794,-1.490935206
3,15,55,0.698212002,0.210400803,1.210400803,-0.789599197
2,16,51,0,0.444179472,1.444179472,-0.555820528
1,11,44,-0.698212002,-0.724713876,0.275286124,-1.724713876
3,9,60,0.698212002,-1.192271215,-0.192271215,-2.192271215
0,15,59,-1.396424004,0.210400803,1.210400803,-0.789599197
1,10,47,-0.698212002,-0.958492545,0.041507455,-1.958492545
1,13,65,-0.698212002,-0.257156537,0.742843463,-1.257156537
2,14,71,0,-0.023377867,0.976622133,-1.023377867
4,20,83,1.396424004,1.379294151,2.379294151,0.379294151
3,19,79,0.698212002,1.145515481,2.145515481,0.145515481
4,20,88,1.396424004,1.379294151,2.379294151,0.379294151
1,8,56,-0.698212002,-1.426049885,-0.426049885,-2.426049885
2,13,62,0,-0.257156537,0.742843463,-1.257156537
3,15,69,0.698212002,0.210400803,1.210400803,-0.789599197
4,20,87,1.396424004,1.379294151,2.379294151,0.379294151
1,15,57,-0.698212002,0.210400803,1.210400803,-0.789599197
