CHILDREN,RACE,CONTROL,ATTMAR,ATTROLE,SEL,ATTHOUSE,AGE,EDUC,WORKSTAT,MARITAL
Yes,White,5,36,42,15,27,5,12,not working,Married
Yes,White,5,21,38,62,20,5,12,working,Married
Yes,White,6,20,44,19,23,6,12,working,Married
Yes,White,6,24,31,39,28,2,9,not working,Married
Yes,White,6,15,29,77,24,8,12,not working,Married
Yes,White,7,28,26,8,25,6,12,working,Married
Yes,White,6,27,44,35,30,8,13,not working,Married
Yes,White,8,18,48,8,24,6,12,not working,Married
Yes,White,5,12,32,80,20,7,16,not working,Married
Yes,White,7,53,24,62,30,4,12,working,Broken
Yes,White,5,11,43,22,15,5,12,not working,Married
Yes,White,6,16,45,39,22,5,10,not working,Married
Yes,White,7,17,52,11,19,2,12,not working,Married
Yes,White,6,20,45,45,25,2,10,not working,Married
Yes,White,6,15,41,52,17,4,12,not working,Married
Yes,Non-white,7,12,35,27,19,4,13,working,Married
Yes,White,7,18,37,44,22,3,17,not working,Married
Yes,White,6,11,46,44,21,5,12,working,Broken
Yes,White,6,21,30,77,28,3,15,not working,Married
Yes,White,9,14,37,39,25,1,12,working,Married
Yes,White,9,26,38,15,19,3,12,working,Married
Yes,White,8,25,26,84,31,2,17,working,Married
Yes,White,6,21,34,65,25,7,14,working,Married
Yes,White,8,38,46,61,26,6,12,not working,Married
Yes,White,5,32,33,87,26,5,12,working,Married
Yes,White,7,23,24,66,33,4,13,working,Married
Yes,White,9,21,38,84,20,8,15,not working,Married
Yes,White,6,25,30,72,26,8,18,not working,Married
Yes,White,7,35,41,39,27,7,17,working,Broken
Yes,White,9,19,34,62,30,6,16,working,Married
Yes,White,6,19,37,38,31,4,16,working,Married
Yes,White,6,16,24,52,25,4,15,working,Married
Yes,White,9,21,52,44,27,6,9,working,Married
Yes,White,7,16,32,77,23,3,15,not working,Married
Yes,White,6,23,35,87,15,4,13,not working,Married
Yes,White,5,26,47,8,32,3,13,working,Married
Yes,Non-white,7,11,39,36.6409264658232,21,4,9,not working,Broken
Yes,Non-white,7,35,28,62,28,3,12,working,Married
Yes,White,5,17,34,62,16,8,12,working,Married
Yes,White,8,18,26,84,24,5,16,working,Married
Yes,White,6,15,37,69,19,7,18,working,Married
Yes,White,7,33,40,21,23,3,12,working,Married
Yes,White,7,18,36,27,24,7,13,not working,Married
Yes,White,8,19,28,61,31,8,12,working,Married
Yes,White,7,20,27,64,29,3,20,working,Broken
Yes,White,5,12,29,92,23,3,14,working,Married
Yes,White,5,17,41,62,24,6,12,working,Married
Yes,White,6,16,30,84,25,6,20,working,Married
Yes,White,7,16,40,86,22,4,14,not working,Married
No,White,5,30,27,14,26,1,13,working,Single
Yes,White,7,21,30,58,27,4,14,working,Married
Yes,White,9,26,35,62,24,4,12,not working,Married
Yes,White,6,18,40,48,27,7,13,working,Married
Yes,White,10,21,39,45,24,2,12,not working,Married
Yes,White,8,22,41,15,23,2,12,not working,Married
Yes,White,8,29,32,29,25,2,10,working,Married
Yes,Non-white,7,30,35,44,22,2,12,working,Married
Yes,Non-white,6,20,47,41,25,8,11,working,Broken
Yes,White,5,12,46,40,15,6,12,working,Married
No,White,6,16,28,38,28,4,12,working,Single
Yes,White,6,17,28,74,25,3,15,working,Married
No,White,7,11,27,16,22,2,12,working,Broken
No,White,6,15,34,71,21,1,12,working,Married
