w1qb1,w1qb2,w2qb1,w2qb2,w3qb1,w3qb2
47,30,50,39,55,36
38,39,46,32,54,38
40,36,56,41,59,0
45,31,51,35,56,41
44,32,50,37,56,37
45,37,52,35,57,36
34,31,50,38,55,31
38,40,49,46,59,37
42,33,51,33,51,42
42,37,53,33,65,40
36,35,48,31,66,47
41,36,48,36,57,36
35,35,52,40,56,45
31,42,51,37,47,34
44,26,48,37,50,45
48,32,53,39,60,40
42,29,53,43,62,39
41,31,49,39,61,43
37,33,48,33,58,49
46,35,52,31,52,40
37,32,49,43,52,42
37,36,47,37,58,48
43,27,58,31,48,39
39,35,43,42,56,44
51,35,49,27,54,41
36,0,55,43,56,40
39,43,47,36,60,36
37,32,37,47,55,44
38,34,55,44,63,37
43,27,56,30,54,32
39,36,52,42,56,41
36,33,53,45,56,37
