psychopathy,mach,cog_dis,group
low,72,5.18,told to lie
low,61,3.74,told to lie
low,53,6.35,told to lie
low,47,4.66,told to lie
low,35,2.76,told to lie
low,49,5.11,told to lie
low,56,4.4,told to lie
low,48,4.9,told to lie
low,46,3.72,told to lie
low,63,5.91,told to lie
low,64,5.66,requested to lie
low,34,3.7,requested to lie
low,28,5.03,requested to lie
low,33,4.06,requested to lie
low,61,5.03,requested to lie
low,61,4.73,requested to lie
low,86,5.89,requested to lie
low,62,4.23,requested to lie
low,68,4.78,requested to lie
low,44,5.69,requested to lie
high,46,0.23,told to lie
high,58,1.35,told to lie
high,59,0.48,told to lie
high,36,1.06,told to lie
high,46,1.53,told to lie
high,72,1.4,told to lie
high,61,0.22,told to lie
high,58,2.53,told to lie
high,52,2.56,told to lie
high,60,0.36,told to lie
high,29,2.43,requested to lie
high,58,1.85,requested to lie
high,44,2.65,requested to lie
high,75,2.92,requested to lie
high,53,1.38,requested to lie
high,38,0.86,requested to lie
high,52,2.34,requested to lie
high,68,2.83,requested to lie
high,54,0.57,requested to lie
high,59,0.86,requested to lie
