Gender,Group,Exam_1,Midterm,Final
2,2,90.78,85.45,110.2
2,2,84.2,83.36,105.63
1,2,75.37,92.2,104.8
1,2,76.83,91.01,103.45
1,2,82,89.91,103.13
1,2,85.2,86.07,102.86
1,2,85.91,95.73,102.71
2,2,80.74,80.74,102.5
1,2,87.48,87.08,102.4
2,2,97.24,87.65,102.34
2,2,79.86,78.45,101.87
1,2,89.24,83.13,101.78
 ,2,99.97,92.99,101.6
1,2,82.42,103.25,101.49
1,2,68.97,78.1,101.13
2,2,80.69,86.88,101.1
1,2,81.03,89.98,101.08
1,2,100.46,87.66,100.93
2,2,91.07,89.69,100.89
2,2,89.12,88.24,100.82
1,2,87.97,94.53,100.76
1,1, ,86.16,100.7
2,1,92.22,88.89,100.68
1,2,74.56,79.81,100.61
1,2,82.73,97.81,100.6
2,2,73.42,87.86,100.51
2,2,71.9,88.28,100.43
2,2,70.66,87.9,100.42
1,2,89.57,89.57,100.34
1,2,73.2,79.75,100.27
2,21,75.31,82.29,99.97
2,2,63.16,88.23,99.86
2,2,74.33,82.43,99.84
2,1,98.63,74.57,99.69
2,2,68.1,96.65,99.63
2,2,66.39,80.1,99.47
2,2,89.91,88.86,99.47
1,1,64.77,86.75,99.45
2,2,2,76.69,99.42
2,2,103.05,80.97,99.25
 ,2,86.16,93.01,99.11
1,2,92.66,81.23,99.1
1,2,98.14,88.12,99.07
1,1,89.46,81.48,98.97
2,1,93.57,85.48,98.96
1,2,93.05,87.24,98.89
1,2,75.33,76.94,98.82
1,1,94,90.97,98.68
2,2,75.52,90.85,98.56
1,2,79.04,93.98,98.52
3,2,74.52,91.67,98.42
1,2,61.22,84.22,98.28
1,2,71,83.32,98.22
1,2,81.17,79.72,98.18
2,2,76.6,86.31,98.18
1,1,77.04,64.96,98.16
2,1,74.72,91.23,98.15
1,2,68.33,91.99,98.05
1,2,82.97,84.39,97.96
1,2,86.86,83.21,97.95
2,2,78.07,94.12,97.94
1,2,76.04,84.53,97.92
1,2,92.81,72.18,97.7
1,2,94.37,92.56,97.66
2,2,91.54,79.05,97.55
2,2,88.23,85.74,97.54
1,2,78.45,86.99,97.39
2,2,70.95,88.26,97.34
1,2,97.72,81.99,97.33
2,2,77.76,88.91,97.31
2,2,63.07,74.19,97.14
1,2,82.55,91.81,97.08
2,2,84.58,84.77,97.05
2,2,79.26,89.63,97.01
2,2,80.23,71.32,96.97
2,2,65.07,79.9,96.96
1,2,80.78,81.49,96.89
1,1,73.84,87.88,96.86
2,2,90.08,98.4,96.8
2,2,84.7,86.76,96.69
2,2,84.89,93.58,96.64
1,1,74.35,101.44,96.54
2,2,73.79,87.93,96.36
2,2,96.66,90.71,96.33
2,2,95.31,82.66,96.3
2,1,79.62,84.51,96.29
1,2,82.01,81.72,96.25
2,2,81.43,95.87,96.25
2,1,91.01,86.79,96.23
1,2,95.26,75.73,96.22
2,2,86.41,84.76,96.21
2,1,78,87.68,96.18
2,1,75.46,79.99,96.16
1,2, ,74.47,96.06
1,2,79.48,71.83,95.99
1,2,74.86,82.97,95.98
1,2,73.67,75.87,95.97
2,1,79.3, ,95.92
2,2,70.77,87.29,95.91
1,2,85.31,81.99,95.9
1,2,90.34,99.81,95.84
1,1,82.42,83.86,95.83
2,2,96.66,91.14,95.82
1,2,76.58,82.9,95.79
2,2,84.98,95.22,95.79
2,2,90.52,89.01,95.75
1,2,92.43,80.72,95.7
1,2,68.32,79.22,95.65
2,2,74.99,95.14,95.64
1,2,87.89,90.9,95.52
2,2,84.28,82.03,95.51
2,2,88.43,89.42,95.51
2,2,94.77,78.43,95.44
2,2,82.76,79.21,95.38
1,2,89.22,82.29,95.36
1,2,82.59,80.32,95.35
1,2,77.15,86.42,95.32
1,2,94.53,76.27,95.28
1,1,78.88,87.85,95.28
2,2,77.73,83.17,95.27
2,2,70.71,76.79,95.23
1,2,79.35,83.78,95.12
0.5,2,93.17,75.3,95.11
2,2,86.4,88.95,95.09
2,2,80.32,70.61,95.07
1,2,89.14,85.6,95.07
1,2,80.63,85.36,95.05
2,2,79.98,78.07,95.02
1,2,84.22,93.25,95.01
1,2,74.3,87.54,95
2,1,80.93,79.52,94.92
2,2,82.79,84.34,94.92
1,1,75.46,83.97,94.91
2,2,85.14,93.4,94.81
2,2,70.8,81.51,94.69
1,1,81.95,62.3,94.68
2,1,86.33,93.16,94.62
2,2,83.99,82.93,94.49
2,2,74.26,79.78,94.48
2,2,93.03,94.49,94.45
2,2,87.58,82.6,94.4
1,2,81.86,87.91,94.4
1,2,72.58,92.05,94.36
1,2,87.09,83.72,94.26
2,2,90.42,89.23,94.16
1,1,80.69,69.99,94.13
1,2,73.69,83.66,94.11
2,1,72.88,81.27,94.04
2,2,86.9,93.06,93.98
2,2,81.38,85.82,93.97
1,2,81.25,88.38,93.9
2,2,78.41,81.84,93.88
1,2,71.14,82.22,93.87
2,2,81.71,78.7,93.85
1,2,92.52,83.65,93.79
2,2,87.66,96.52,93.76
2,1,79.2,82.48,93.74
1,2,89.66,90.81,93.71
2,1,69.08,77.98,93.69
1,2,80.67,81.53,93.68
2,2,82.99,82.48,93.64
2,2,71.37,89.7,93.55
2,2,82.24,87.82,93.54
2,2,81.92,82.06,93.49
2,1,80.72,92.05,93.47
2,2,73.95,89.45,93.45
1,2,65.84,84.32,93.43
2,2,89.53,83.97,93.4
1, ,67,78.89,93.38
1,1,73.99,96.28,93.36
1,1,91.26,86,93.15
1,2,78.3,82.41,93.12
1,1,74.91,94.88,93.12
2,1,93.04,85.63,93.1
2,1,94.93,86.57,93.1
1,2,83.85,75.93,93.07
2,2,80.41,87.57,93.07
2,1,72.09,77.59,93.02
1,1,79.64,82.91,92.77
2,2,78.15,82.73,92.71
2,2,95.5,88.49,92.71
2,2,80.8,83.87,92.59
2,2,90.86,83.94,92.57
1,2,73.2,65.6,92.56
2,2,92.45,82.29,92.55
1,2,88.09,89.7,92.52
2,2,79.9,93.46,92.52
2,2,87.35,87.46,92.49
1,1,67.86,89.01,92.41
1,1,94.72,78.6,92.39
1,2,77.7,85.59,92.39
2,2,97.96,83.7,92.36
2,2,74.14,77.72,92.33
1,2,72.53,81.58,92.3
2.5,2,86.1,94.84,92.15
1,1,91.12,91.95,92.1
1,2,72.88,92.16,92.05
1,2,89.64,82.61,92.02
1,1,102.48,72.56,92.01
2,2,92.12,84.37,91.99
1,2,78.06,90.22,91.99
2,2,61.56,83.1,91.94
1,2,71.28,95.42,91.85
1,2,88.34,87.47,91.83
1,2,71.87,87.53,91.75
1,2,75.81,81.07,91.71
2,2,79.68,73.42,91.68
1,1,81.44,86.42,91.68
1,2,84.12,83.41,91.67
2,2,76.5,82.19,91.61
2,2,76.21,88.59,91.59
1,1,78.33,92.51,91.57
2,1,87.23,78.74,91.53
2,2,81.32,92.25,91.49
1,2,81.34,77.39,91.45
1,1,0,68.68,91.43
1,2,90.06,87.06,91.42
1,2,94.96,89.22,91.41
1,2,77.39,77.77,91.24
1,2,69.94,75.04,91.23
2,1,75.73,89.1,91.23
1,2,79.61,89.05,91.18
1,1,89.67,86.54,91.16
1,2,87.21,87.27,91.15
1,1,88.49,85.96,91.08
2,1,74.47,89.94,91.06
2,1,92.97,77.39,91.03
2,1,77.68,82.84,90.89
1,1,75.73,94.93,90.86
1,2,88.56,86.27,90.83
2,2,85.36,81.6,90.82
2,2,83.57,92.99,90.77
2,2,83.54,89.31,90.74
 , , , ,90.69
2,1,85.94,86.14,90.64
1,2,87.46,88.56,90.6
1,2,90.82,83.64,90.58
2,2,71.08,83.18,90.56
2,2,98.28,80.5,90.54
2,2,67.52,87.6,90.51
2,1,86.96,79.56,90.49
2,2,79.3,83.74,90.49
1,2,84.04,93.56,90.47
2,1,90.07,86.29,90.41
1,1,90.58,82.2,90.34
1,2,75.18,81.77,90.33
2,1,89.38,94.78,90.32
1,2,76.57,84.68,90.31
2,1,72.86,82.32,90.27
2,1,67.65,76.34,90.25
1,1,77.89,84.17,90.17
1,1,87.32,76.77,90.15
1,2,80.51,82.86,90.13
1,2,101.47,72.51,90.09
1,1,73.89,89.17,90.09
1,1,85.88,78.97,90.05
1,1,91.69,89.67,90
1,2,96.83,84.38,89.98
2,1,83.31,85.55,89.96
2,2,80.3,86.27,89.95
1,2,100.45,69.93,89.94
1,1,76.89,80.17,89.92
2,2,84.31,81.37,89.87
2,2,74.39,70.96,89.85
2,2,84.69,77.39,89.85
1,1,87.72,83.23,89.84
2,2,81.2,84.53,89.82
1,1,92.69,79.57,89.74
2,2,100.7,85.43,89.73
1,2,83.9,79.83,89.63
2,2,87.11,78.27,89.57
1,1,104.28,80.14,89.5
2,1,69.53,80.81,89.48
2,2,82.52,88.95,89.46
2,1,73.33,70.32,89.45
2,1,82.77,90.44,89.39
2,2,81.17,96.57,89.39
2,2,81.14,86.19,89.38
1,2,81.87,80.41,89.37
2,2,89.02,91.16,89.29
2,1,85.57,86.4,89.27
1,3,73.94,91.96,89.27
1,2,82.2,85.91,89.25
2,2,86.87,90.31,89.19
1,1,78.24,84.75,89.14
2,2,73.31,84.75,89.13
1,1,77.38,90.02,89.13
1,2,95.26,83.12,89.11
2,2,74.82,94.55,89.08
2,2.5,68.94,75.86,89.04
1,2,82.33,89.51,89
1,2,83.85,86.96,88.94
1,2,79.74,90.74,88.75
2,2,88.44,80.87,88.72
1,1,66.32,76.36,88.68
2,2,80.35,96.12,88.67
1,1,97.06,88.16,88.6
2,2,71.28,95.84,88.6
2,2,81.24,89.88,88.53
2,2,76.31,88.12,88.52
2,2,96.45,83.47,88.49
1,1,83.8,65.72,88.44
2,1,85.82,91.05,88.43
 ,2,90.79,88.57,88.42
1,1,65.03,90.71,88.42
2,2,87.33,88.11,88.39
1,1,79.09,107.11,88.39
2,1,93.77,68.45,88.36
1,2,69.34,69.97,88.35
1,1,85.81,63.82,88.28
1,2,85.08,85.81,88.21
1,1,103.11,83.67,88.2
2,2,89.24,83.16,88.18
1,1,83.31,105.73,88.13
2,2,79.44,75.21,88.1
1,2,83.48,90.56,88.01
1,1,87.94,76.3,87.96
2,2,87.77,91.93,87.94
1,1,84.3,85.55,87.93
1,2,90.11,90.03,87.92
2,2,74.68,91.21,87.86
2,1,84.89,89.5,87.84
2,2,81.24,88.63,87.75
2,2,95.44,85.39,87.69
1,1,103.77,79.48,87.68
2,2,100.73,77.94,87.64
1,1,81.44,73.79,87.63
1,1,86.87,87.87,87.62
1,2,95.96,92.2,87.62
