feelings,cheese
yummies,30.6
yummies,42.6
yummies,27
yummies,19.8
yummies,21.6
yummies,14.4
yummies,48.6
yummies,29.4
yummies,35.4
yummies,15.6
yummies,53.4
yummies,51
yummies,40.8
yummies,53.4
yummies,53.4
yummies,28.2
yummies,22.2
yummies,24
yummies,7.2
yummies,19.8
yummies,30
yummies,54
yummies,19.2
yummies,27
yummies,42
yummies,47.4
yummies,33
yummies,16.2
yummies,22.8
yummies,23.4
yummies,27
yummies,27
yummies,31.2
yummies,9
yummies,18.6
yummies,27.6
yummies,33.6
yummies,35.4
yummies,26.4
yummies,15
yummies,33
yummies,26.4
yummies,33
yummies,22.2
yummies,28.8
yummies,14.4
yummies,35.4
yummies,29.4
yummies,25.2
yummies,28.2
blahs,25.8
blahs,30.6
blahs,43.8
blahs,34.2
blahs,34.2
blahs,36.6
blahs,27.6
blahs,38.4
blahs,40.8
blahs,22.8
blahs,29.4
blahs,34.2
blahs,43.2
blahs,39.6
blahs,30
blahs,28.8
blahs,33
blahs,43.2
blahs,36.6
blahs,30
blahs,29.4
blahs,33.6
blahs,48.6
blahs,39
blahs,31.8
blahs,22.2
blahs,33
blahs,35.4
blahs,30.6
blahs,40.2
blahs,17.4
blahs,28.2
blahs,22.8
blahs,25.2
blahs,34.8
blahs,15.6
blahs,39
blahs,30
blahs,10.2
blahs,24
blahs,33
blahs,31.2
blahs,31.8
blahs,31.2
blahs,32.4
blahs,26.4
blahs,31.2
blahs,34.8
blahs,36.6
blahs,16.2
