Creativity,Position,Novice
53,1,First Time
36,3,Had entered Competition Before
31,4,First Time
43,2,First Time
30,4,Had entered Competition Before
41,1,First Time
32,4,First Time
54,1,Had entered Competition Before
47,2,Had entered Competition Before
50,2,First Time
56,1,First Time
50,1,First Time
34,1,Had entered Competition Before
41,4,First Time
52,5,First Time
38,1,First Time
35,2,Had entered Competition Before
35,3,Had entered Competition Before
48,1,First Time
38,1,Had entered Competition Before
43,2,Had entered Competition Before
38,3,Had entered Competition Before
39,1,Had entered Competition Before
51,1,First Time
26,3,First Time
31,4,Had entered Competition Before
45,1,First Time
31,3,First Time
34,2,Had entered Competition Before
35,5,Had entered Competition Before
39,2,Had entered Competition Before
50,2,Had entered Competition Before
53,1,Had entered Competition Before
38,2,First Time
37,3,First Time
34,2,Had entered Competition Before
30,1,First Time
46,6,First Time
36,2,Had entered Competition Before
26,1,Had entered Competition Before
41,1,Had entered Competition Before
50,6,Had entered Competition Before
43,1,First Time
54,2,First Time
39,1,Had entered Competition Before
51,2,First Time
47,1,First Time
38,3,Had entered Competition Before
32,1,First Time
28,4,Had entered Competition Before
39,1,First Time
42,1,Had entered Competition Before
44,2,First Time
21,5,Had entered Competition Before
43,1,Had entered Competition Before
39,3,Had entered Competition Before
42,1,Had entered Competition Before
35,2,First Time
52,1,First Time
39,1,First Time
45,1,First Time
25,4,Had entered Competition Before
41,1,Had entered Competition Before
35,3,Had entered Competition Before
27,3,First Time
44,4,First Time
37,3,Had entered Competition Before
40,1,Had entered Competition Before
