frequency,word,part_of_speech
6187267,the,det
4239632,be,v
3093444,of,prep
2687863,and,conj
2186369,a,det
1924315,in,prep
1620850,to,infinitive-marker
1375636,have,v
1090186,it,pron
1039323,to,prep
887877,for,prep
884599,i,pron
760399,that,conj
695498,you,pron
681255,he,pron
680739,on,prep
675027,with,prep
559596,do,v
534162,at,prep
517171,by,prep
465486,not,adv
461945,this,det
459622,but,conj
434532,from,prep
433441,they,pron
426896,his,det
384313,that,det
380257,she,pron
373808,or,conj
372031,which,det
364164,as,conj
358039,we,pron
343063,an,det
333518,say,v
297281,will,modal
272345,would,modal
266116,can,modal
261089,if,conj
260919,their,det
249540,go,v
249466,what,det
239460,there,pron
230737,all,det
220940,get,v
218258,her,det
217268,make,v
205432,who,pron
201968,as,prep
201819,out,adv
195426,up,adv
191661,see,v
185534,know,v
183427,time,n
179220,take,v
173414,them,pron
171174,some,det
168387,could,modal
167324,so,adv
165014,him,pron
163930,year,n
163469,into,prep
163081,its,det
160652,then,adv
153881,think,v
152619,my,det
151871,come,v
147618,than,conj
146029,more,adv
144554,about,prep
143801,now,adv
140063,last,a
138334,your,det
138151,me,pron
137026,no,det
135185,other,a
131417,give,v
128517,just,adv
128393,should,modal
125442,these,det
125430,people,n
124884,also,adv
124451,well,adv
123655,any,det
122128,only,adv
115523,new,a
114911,very,adv
113655,when,conj
113024,may,modal
112636,way,n
111058,look,v
110090,like,prep
108820,use,v
108710,her,pron
108524,such,det
103508,how,adv
103003,because,conj
102621,when,adv
101583,as,adv
100652,good,a
98899,find,v
97985,man,n
95001,our,det
94293,want,v
92699,day,n
91141,between,prep
90473,even,adv
89890,there,adv
89659,many,det
88862,those,det
86364,one,pron
85939,after,prep
84446,down,adv
83382,yeah,interjection
79028,so,conj
77612,thing,n
77245,tell,v
75588,through,prep
75494,back,adv
72774,still,adv
72059,must,modal
71008,child,n
70947,here,adv
70676,over,prep
70164,too,adv
69978,put,v
69459,own,det
68362,on,adv
67999,no,interjection
67842,work,v
67219,become,v
67198,more,det
66999,old,a
66894,government,n
66556,mean,v
65773,part,n
64447,leave,v
64423,life,n
64369,great,a
64118,where,adv
63577,case,n
63087,woman,n
62993,over,adv
62445,seem,v
62402,same,det
62350,us,pron
62248,work,n
62201,need,v
62185,feel,v
61912,system,n
61492,each,det
61446,might,modal
61446,may,v
61338,much,adv
60879,ask,v
60689,group,n
60607,number,n
60592,yes,interjection
60498,however,adv
60182,another,det
59829,again,adv
59094,world,n
58449,area,n
58152,show,v
57776,course,n
57754,company,n
57056,shall,modal
56638,under,prep
56483,problem,n
56208,against,prep
55899,never,adv
55704,all,adv
54966,most,adv
54468,service,n
54422,try,v
53396,call,v
53265,hand,n
52979,party,n
52703,high,a
52561,about,adv
52452,something,pron
52227,school,n
51652,in,adv
51626,small,a
51537,place,n
51259,before,prep
50877,why,adv
50548,while,conj
50294,away,adv
50092,keep,v
49187,point,n
49022,house,n
48373,different,a
48177,country,n
48062,really,adv
47923,provide,v
47512,week,n
47234,hold,v
47185,large,a
47141,member,n
46285,off,adv
46228,always,adv
46221,next,det
46145,follow,v
45867,without,prep
45487,turn,v
45160,end,n
45042,within,prep
44920,local,a
44496,where,conj
44013,during,prep
43894,bring,v
43792,most,det
43750,word,n
43740,begin,v
43635,although,conj
43402,example,n
43139,next,adv
42773,family,n
42341,rather,adv
42241,fact,n
41909,like,v
41617,social,a
41497,write,v
41351,state,n
41205,percent,n
41169,quite,adv
41162,both,det
41029,start,v
40858,run,v
40492,long,a
40460,right,adv
40381,set,v
40265,help,v
40114,every,det
39850,home,n
39819,month,n
39626,side,n
39315,night,n
39265,important,a
39192,eye,n
39000,head,n
38656,information,n
38608,question,n
38204,business,n
38053,play,v
37963,power,n
37892,money,n
37884,change,n
37836,move,v
37744,interest,n
37736,order,n
37675,book,n
37640,often,adv
37386,development,n
37278,young,a
37231,national,a
36665,pay,v
36575,hear,v
36360,room,n
36169,whether,conj
35767,water,n
35758,form,n
35295,car,n
35164,other,n
35058,yet,adv
35039,perhaps,adv
34970,meet,v
34885,level,n
34807,until,conj
34801,though,conj
34775,policy,n
34753,include,v
34603,believe,v
34496,council,n
34292,already,adv
34178,possible,a
34064,nothing,pron
33888,line,n
33687,allow,v
33660,need,n
33423,effect,n
33300,big,a
32998,use,n
32923,lead,v
32899,stand,v
32798,idea,n
32786,study,n
32733,lot,n
32675,live,v
32484,job,n
32404,since,conj
32309,name,n
32259,result,n
32231,body,n
32075,happen,v
31927,friend,n
31873,right,n
31713,least,adv
31630,right,a
31588,almost,adv
31284,much,det
31258,carry,v
31231,authority,n
31143,long,adv
31110,early,a
31102,view,n
31082,himself,pron
30983,public,a
30960,together,adv
30930,talk,v
30857,report,n
30855,after,conj
30775,only,a
30731,before,conj
30675,bit,n
30624,face,n
30599,sit,v
30596,market,n
30595,appear,v
30466,continue,v
30454,able,a
30366,political,a
30326,later,adv
30218,hour,n
30179,rate,n
30169,law,n
30166,door,n
29976,court,n
29943,office,n
29768,let,v
29722,war,n
29490,produce,v
29194,reason,n
29147,less,adv
29141,minister,n
29091,subject,n
28981,person,n
28896,term,n
28887,particular,a
28836,full,a
28772,involve,v
28760,sort,n
28711,require,v
28665,suggest,v
28626,far,a
28600,towards,prep
28321,anything,pron
28300,period,n
28271,consider,v
28216,read,v
28210,change,v
28150,society,n
28035,process,n
27784,mother,n
27697,offer,v
27673,late,a
27665,voice,n
27644,both,adv
27632,once,adv
27508,police,n
27485,kind,n
27484,lose,v
27367,add,v
27303,probably,adv
27221,expect,v
27195,ever,adv
27184,available,a
27178,no,adv
27166,price,n
26953,little,a
26894,action,n
26889,issue,n
26856,far,adv
26748,remember,v
26625,position,n
26616,low,a
26556,cost,n
26553,little,det
26304,matter,n
26289,community,n
26244,remain,v
26191,figure,n
26034,type,n
26018,research,n
25990,actually,adv
25987,education,n
25966,fall,v
25788,speak,v
25781,few,n
25775,today,adv
25635,enough,adv
25614,open,v
25608,bad,a
25582,buy,v
25444,programme,n
25440,minute,n
25371,moment,n
25366,girl,n
25340,age,n
25272,centre,n
25066,stop,v
25041,control,n
25024,value,n
24816,send,v
24527,health,n
24380,decide,v
24370,main,a
24310,win,v
24252,understand,v
24233,decision,n
24205,develop,v
24148,class,n
24144,industry,n
24111,receive,v
24095,back,n
24002,several,det
23976,return,v
23931,build,v
23799,spend,v
23785,force,n
23742,condition,n
23712,itself,pron
23694,paper,n
23673,themselves,pron
23629,off,prep
23629,major,a
23533,describe,v
23497,agree,v
23484,economic,a
23474,increase,v
23409,upon,prep
23394,learn,v
23340,general,a
23259,century,n
23218,therefore,adv
23216,father,n
23188,section,n
23106,patient,n
23106,around,adv
23105,activity,n
23103,road,n
23092,table,n
23082,including,prep
23008,church,n
22992,reach,v
22982,real,a
22959,lie,v
22926,mind,n
22899,likely,a
22864,among,prep
22781,team,n
22751,experience,n
22712,death,n
22703,soon,adv
22657,act,n
22601,sense,n
22363,staff,n
22297,certain,a
22237,student,n
22232,half,det
22180,around,prep
22117,language,n
22101,walk,v
22087,die,v
22040,special,a
22033,difficult,a
22010,international,a
22002,particularly,adv
21939,department,n
21884,management,n
21845,morning,n
21778,draw,v
21763,hope,v
21763,across,prep
21727,plan,n
21712,product,n
21596,city,n
21585,early,adv
21575,committee,n
21504,ground,n
21488,letter,n
21470,create,v
21454,evidence,n
21339,foot,n
21260,clear,a
21205,boy,n
21181,game,n
21044,food,n
21016,role,n
20950,practice,n
20946,bank,n
20919,else,adv
20904,support,n
20902,sell,v
20839,event,n
20770,building,n
20726,range,n
20694,behind,prep
20678,sure,a
20660,report,v
20633,pass,v
20609,black,a
20586,stage,n
20544,meeting,n
20517,sometimes,adv
20488,thus,adv
20373,accept,v
20170,town,n
20168,art,n
20138,further,adv
20113,club,n
20091,cause,v
20089,arm,n
20064,history,n
20060,parent,n
20001,land,n
19928,trade,n
19869,watch,v
19865,white,a
19856,situation,n
19833,whose,det
19808,ago,adv
19744,teacher,n
19639,record,n
19636,manager,n
19628,relation,n
19565,common,a
19558,strong,a
19542,whole,a
19542,field,n
19539,free,a
19512,break,v
19459,yesterday,adv
19344,support,v
19340,window,n
19260,account,n
19218,explain,v
19207,stay,v
19160,few,det
19152,wait,v
19151,usually,adv
19138,difference,n
19057,material,n
19046,air,n
19039,wife,n
19015,cover,v
18982,apply,v
18916,project,n
18913,raise,v
18900,sale,n
18866,relationship,n
18858,indeed,adv
18853,light,n
18828,claim,v
18757,form,v
18742,base,v
18717,care,n
18681,someone,pron
18675,everything,pron
18647,certainly,adv
18579,rule,n
18540,home,adv
18511,cut,v
18433,grow,v
18432,similar,a
18418,story,n
18415,quality,n
18313,tax,n
18247,worker,n
18223,nature,n
18201,structure,n
18188,data,n
18107,necessary,a
18058,pound,n
18044,method,n
17958,unit,n
17947,central,a
17947,bed,n
17902,union,n
17880,movement,n
17878,board,n
17836,TRUE,a
17809,well,interjection
17756,simply,adv
17732,contain,v
17694,especially,adv
17662,open,a
17635,short,a
17622,personal,a
17584,detail,n
17553,model,n
17461,bear,v
17415,single,a
17331,join,v
17226,reduce,v
17224,establish,v
17197,herself,pron
17194,wall,n
17193,face,v
17065,easy,a
17022,private,a
16976,computer,n
16973,former,det
16898,hospital,n
16860,chapter,n
16804,scheme,n
16776,theory,n
16731,choose,v
16647,wish,v
16646,property,n
16628,achieve,v
16622,financial,a
16579,poor,a
16555,officer,n
16509,up,prep
16503,charge,n
16487,director,n
16477,drive,v
16402,deal,v
16392,place,v
16331,approach,n
16288,chance,n
16281,application,n
16270,seek,v
16247,cos,conj
