"cue","response","fsg","bsg","was_comp","cos","lsa419","lsa300","bgl_item","bgl_comp","t1700","t900","lch","jcn","lesk"
"airplane","boat",0.015,0,0.40547,0.094,0.135,0.21,0.333319212,0.485232457,0.000057,0.000016,1.791759469,0.320403814,0.042248462
"airplane","car",0.02,0,0.69315,0.204,0.111,0.12,0.37308295,0.462082466,0.000261,0.002971,1.018569581,0.078537359,0.060758514
"airplane","helicopter",0.015,0.072,2.16333,0.122,0.552,0.62,0.313339703,0.315575056,0.011583,0.012521,2.48490665,0.240809788,1.063219949
"airplane","jet",0.086,0,2.15176,0.775,0.668,0.7,0.460104539,0.294024726,0.026786,0.033789,2.890371758,0.476301816,1.192006638
"airplane","train",0.01,0,0,0.291,0.138,0.23,0.415692123,0.437747574,0.00044,0.000367,1.185623666,0.071076212,0.038612155
"alligator","crocodile",0.46,0.629,4.69043,0.822,0.39,0.48,0.202847651,0.369532205,0.00041,0.000872,2.48490665,0.480257694,1.470899471
"ambulance","car",0.014,0,0.84458,0.201,0.208,0.25,0.284681429,0.448383294,0.001095,0.002205,2.890371758,0.217766006,1.110382958
"anchor","ship",0.254,0,3.23475,0.055,0.514,0.58,0.395937925,0.394011719,0.053157,0.066674,1.185623666,0.076171909,1.06161739
"ant","grasshopper",0.017,0,0.62653,0.302,0.565,0.61,0.30149436,0.416856433,0.006604,0.011293,1.974081026,0.125304141,0.082238002
"ant","spider",0.017,0,0.53063,0.348,0.463,0.55,0.179554901,0.3312531,0.000027,0.025782,1.791759469,0.114779966,0.017510656
"apartment","building",0.077,0.025,2.32239,0.108,0.554,0.58,0.62437037,0.594061737,0.172817,0.298197,1.185623666,0.055675135,0.160817805
"apartment","house",0.154,0.055,3.03975,0.414,0.334,0.4,0.681358713,0.646144252,0.047744,0.012358,1.974081026,0.112278484,0.475229601
"apple","banana",0.02,0.153,2.85071,0.442,0.252,0.32,0.351055685,0.259882261,0.000649,0.000395,2.48490665,0.140284389,0.587441914
"apple","orange",0.174,0.082,3.2426,0.464,0.389,0.42,0.284645275,0.372526711,0.000128,0.000086,1.974081026,0.189289986,0.204531107
"apple","peach",0.027,0.062,2.18605,0.543,0.346,0.4,0.437714144,0.394391802,0.030393,0.011365,2.197224577,0.140071763,0.365238095
"apple","pear",0.047,0.252,3.39786,0.632,0.27,0.29,0.39313269,0.346774112,0.008541,0.003028,2.48490665,0.477965265,0.705816972
"apple","pie",0.074,0.228,3.40784,0.057,0.416,0.47,0.293283795,0.332364275,0.018968,0.022539,1.637608789,0.113319963,0.003546911
"apron","tie",0.02,0,0.69315,0.09,0.29,0.37,0.362207381,0.212166968,0.00023,0.000367,1.791759469,0.092977937,0.124758372
"ashtray","cigarette",0.496,0,3.90399,0.112,0.448,0.52,0.142893345,0.117841206,0.002772,0.012369,0.944461609,0.045437888,0.027777778
"bag","sack",0.11,0.444,4.01458,0.338,0.47,0.56,0.514665676,0.6383857,0.001425,0.020388,2.48490665,0.098252924,1.479166667
"ball","football",0.043,0.035,2.05413,0.262,0.292,0.45,0.500553448,0.542114672,0.005132,0.007288,2.890371758,0.399542851,1.30751287
"banana","gorilla",0.021,0.013,1.22378,0.089,0.226,0.27,0.012642362,0.128455109,0.005328,0.002358,0.875468737,0.048987798,0.012903226
"banana","grape",0.014,0,0.56759,0.29,0.108,0.18,0.094728516,0.168448123,0.000144,0.001057,2.48490665,0.133564654,1.169351362
"banana","orange",0.042,0,1.76202,0.346,0.377,0.39,0.367224776,0.296127611,0.002861,0.006534,2.197224577,0.126702953,0.131661857
"banana","strawberry",0.014,0.01,1.1112,0.36,0.24,0.25,0.101287619,0.192045839,0.000048,0.000222,2.48490665,0.092527052,1.028636106
"banjo","guitar",0.384,0.034,3.7329,0.787,0.323,0.38,0.226006083,0.338276846,0.007314,0.008532,2.48490665,0.156194667,2.290950176
"barn","cow",0.173,0,2.85071,0.075,0.562,0.63,0.478033591,0.64806741,0.057638,0.040173,0.587786665,0.052150847,0.022619048
"barn","door",0.047,0,1.54757,0.179,0.282,0.32,0.420466206,0.654993484,0.00036,0.006313,1.386294361,0.067455538,0.192727273
"barn","horse",0.165,0,2.80336,0.08,0.34,0.4,0.509239736,0.601126749,0.014501,0.032462,0.875468737,0.055468718,0.05025641
"barn","house",0.016,0,0.47001,0.149,0.311,0.37,0.651942011,0.777541425,0.026674,0.026848,2.197224577,0.131706843,0.17
"barn","shed",0.016,0.02,1.28094,0.458,0.578,0.63,0.568170123,0.50713515,0.012117,0.019857,1.974081026,0.105453869,0.107142857
"barrel","bucket",0.073,0.014,2.16333,0.14,0.371,0.42,0.287453316,0.448213514,0.01359,0.000189,2.48490665,0.099518766,1.4
"barrel","drum",0.012,0,0.18232,0.112,0.149,0.21,0.271956119,0.440696731,0.000036,0.000018,3.583518938,209681401,2
"barrel","wheel",0.012,0,0.18232,0.274,0.187,0.2,0.197246533,0.44029949,0.0001,0.000022,1.098612289,0.060873815,0.134259259
"basement","cellar",0.071,0.287,3.57795,0.515,0.507,0.58,0.39810877,0.675378531,0.002048,0.009529,3.583518938,209681401,3.106666667
"basement","house",0.058,0,1.75786,0.04,0.4,0.45,0.474492867,0.669485972,0.056192,0.027223,1.974081026,0.103247265,0.072702194
"basket","bowl",0.021,0,0.74194,0.099,0.46,0.53,0.491850431,0.605239397,0.000386,0.001076,2.48490665,0.098537316,1.611111111
"bathtub","sink",0.091,0,2.20828,0.541,0.484,0.59,0.442029167,0.470960361,0.010498,0.008483,1.504077397,0.059705028,0.098746365
"bathtub","toilet",0.019,0,0.64186,0.251,0.27,0.32,0.180435848,0.346249828,0.005784,0.002985,1.504077397,0.078198782,0.711971828
"bear","dog",0.01,0,0.88559,0.304,0.047,0.04,0.566063928,0.617308024,0.000488,0.000025,1.018569581,0.066071443,0
"bear","lion",0.02,0.021,1.47169,0.471,0.153,0.24,0.451177356,0.5431098,0.000071,0.000011,1.018569581,0.059591426,0
