"sentiment","tweet"
"negative","worried about adara. "
"negative","German television program is boring. "
"negative","I have a headache... "
"negative","birthday party tomorrow early, i need to sleep in maybe sunday "
"negative","i got slow internet connection in exchange of rain "
"negative","@missgreens The funny thing is, i lose my bday in time differences. Leave new york on aug 7th, back in aus aug 9th. My bday 8th   fail"
"negative","@Cosmotastic :O You got Sims 3? Lucky duck. I only have Sims 1 and it doesnt even work on my comp. anymore.  lol. Have fun playing!"
"negative","Doing laundry 'coz my fingers hurt - I haven't played guitar in a while and have to re-callous my fingers.  "
"negative","G'night world.  Ickest...I hope your doggie comes home....  "
"negative","@marshaambrosius You gotta follow me first "
"negative","@1sweetwhirl took the weekend off to rest and relax though no concert "
"negative","Anzac lying on the lounge next to me and was just a very dirty dog. Guess which end was closest to me? "
"negative","@grantimahara Looks like you need to rent a maid to clean up the set... Sorry "
"negative","@Jaynecollinsmac you know that comp i spoek to u about the other day? Should we just not expect tickets now as it's getting late "
"negative","Hoping there isn't anything major wrong with my car! "
"negative","is ALL ALONE IN THE HOUSE STILL  yaya's still not here. http://plurk.com/p/p52z0"
"negative","I think I'm coming down with something!! "
"negative","@perideaudesigns so sorry I'll miss the morning with Kendall  Have a good one."
"negative","@DonnieWahlberg OK so I want to do the VIP ticket to the after party in VA Beach but none of my girls can afford to go "
"negative","@Jerome117 yeah the final tests start second week of june! anyway i hope i'll do okay! i cant mess it up now in last year   thanks buddy!"
"negative","aww no im so tired! i dont think ill be making it to the movies 2night "
"negative","is headed back to the hosp. "
"negative","Hannahs making fun of my underwear "
"negative","i am supposed to be on vacation right now. camping. instead i am sitting at my desk. working. blehhhhhhh "
"negative","I have been nursing an injured squirrel all day &amp; she died in my arms not that long ago -kids will be so sad - they had named her Hammy! "
"negative","Heartbreaking loss by the phils tonight "
"negative","There is white stuff falling from the sky "
"negative","@SkorpionUK Piriton does nothing for me "
"negative","i just slept through zumba!   thats the second time in two weeks I've fallen asleep without meaning to."
"negative","Waaah! Our SU shop is closed for the afternoon! No sugar for me "
"negative","@Fuzzie_74 It's the finger - it looks loaded! And I'm not a media junkie so don't know this Cooper chappie "
"negative","we turned off the game cuz it sucked "
"negative","iv learnin hangovers suck worse the older u get  ..dangit not sure which feels worse older / hangover.."
"negative","@ahhchieee haha. I know. And then I need a new car too. Oh ps I got a speeding ticket. "
"negative","3:00 AM and sudden urge for potato latkes. New electric mandolin, smallest gratter and lard instead of smaltz (don't have any  ). YUMMY!"
"negative","@MJHartley i'm sorry you had to eat by yourself "
"negative","going to take samson to the university for a stomach procedure   "
"negative","I should have worn my night guard last night.  my jaw doesn't want to open all the way."
"negative","SO, i slept like s#!t last night which makes me see today being a L-O-N-G day  hopefully i'll be able to get a nap in somewhere, doubtful"
"negative","Something else rather than work is on my mind....  "
"negative","@edrecovery true I just tend to not react that well "
"negative","Realllllllyyyyy missing Georgia and the middle school missions team. "
"negative","@gendalia OOH JEALOUS!  WATER!  BOAT! LIGHTHOUSE!  Wish I were there "
"negative","@nezua i want to comment but don't understand what you're saying "
"negative","my hayfever is bang out "
"negative","Still in health "
"negative","Goodnight 10 hours "
"negative","@rayleerock I didn't do nothin!  we can off whoever you want. just say the word."
"negative","getting ready to go for training, i don't wanna. "
"negative","@DanicaPatrick that's looks like a blast and good race today had fun at the mile just missed getting your autogragh "
"negative","@ossakummz yep she's in. eh tp nindy ga jadi ikut sa haha tai ya, nanti eyke cerita ke you kenapa kenapanya. twitter wont let me "
"negative","I think thomasgave me the flu! I've got a sore throat.. runny nose n don't feel gd  He was like this the other day! Arrghhh!  x"
"negative","found an amazing house to lease in West U but there's a rule that more than 2 unrelated people can't live together in that area   snobs."
"negative","not feeling very well today "
"negative","@MariahCarey  Come On DAHHHLING you kno there's Lambs all over the world But the best Lambe is here wishing i was there  Bleakkkk!"
"negative","&quot;Seventeen Forever&quot; is stuck in my head FOREVER!!! (thanks a lot..)    but i love it!!!!"
"negative","Oh I see sorry @dianetrinh  .. On the up side only one week til I see you!"
"negative","@asdquefty Yes they are, and now they're all gone.  Did you enjoy yours?"
"negative","@Cici_K Hmph. I dont wanna clean "
"negative","And cause it was 2 and no one was up to talk to "
"negative","@thecrazyjogger lol if i ran at night I would have people trying to follow me and bothering me.. stupid boys...  "
"negative","@whatitdoshawty no  I meant like how did you know to guess there unless you lived there lol. I was at the Rec complex alllll day today"
"negative","Is freaking exhausted. Global history regents in half an hour "
"negative","So last nights last outgoing message was pointless..now ill be bummed for school fml "
"negative","@javierest according to 3ly, the url does not exist "
"negative","I ate like a damn pig now my stomach is killing me   http://myloc.me/10Rc"
"negative","first day of intensive japanese and we're already taking tests and being interviewed!  gahhh"
"negative","sleepy time.. work at 630 am "
"negative","@mattchew03 i don't see it anymore  #ontd"
"negative","@rachaelnoel Yeah, but did you see Ministry's last tour? It was sort of sad. Poor Al. "
"negative","@aradaki sadly nowhere near the post "
"negative","@AVANTE_ROSE thanks for the dm sweety but I can't reply to u if ur not following me!  xoxoxo"
"negative","Awake at seven because Lucy's awake at seven   http://twitpic.com/6e8sd"
"negative","really wanted to sleep in but my body aint letting me.. guess this is what happens when ur used to gettin up early all week "
"negative","Poor sadie bug has a cold  I hate when she's sick!"
"negative","@CeleighaNadine  Why?"
"negative","@FREEIRANpro  but i had to drive to see my dad."
"negative","plus shes far away T__T -sigh- i wish i could send her something other than a card =_=; but now its too late "
"negative","watching the last episode off THE HILLS with LC "
"negative","Bum, my C4 exam is actually this morning  This makes me sad. No time to revise. Should be ok though, I won't fail, that's factual"
"negative","going to have a laaame weekend "
"negative"," sunburn..hurts!"
"negative","Transition time is over; tonight I work night shift. I woke up at 1330. "
"negative","now that i saw ur cat @james_a_michael i miss my cat ... "
"negative","If you do randomfacts on tj it will probs get moved cos its gay now "
"negative","@BlueSpirit3 cant check links from mobile "
"negative","Just got news my dog has passed "
"negative","prayers go out to the families of all passengers on Air France Flight 447 "
"negative","@jrowett am jealous as hell - you're getting all the fun down there in London town while I'm in my 5h1ty portakabin in Sheffield grrr "
"negative","I seriously can't take another second of rain....and they expect me to put with this all next week "
"negative","is dead. dead tired. just first day and i'm completely down. ah wells, time to finish up my work first "
