rowtype_,varname_,SDQGSC,SDQASC,SDQESC,SDQMSC,APIGSC,SESGSC,APIASC,SCAASC,APIESC,SCAESC,APIMSC,SCAMSC
n,,582,582,582,582,582,582,582,582,582,582,582,582
corr,SDQGSC,1,,,,,,,,,,,
corr,SDQASC,0.33,1,,,,,,,,,,
corr,SDQESC,0.267,0.397,1,,,,,,,,,
corr,SDQMSC,0.173,0.427,-0.011,1,,,,,,,,
corr,APIGSC,0.658,0.323,0.212,0.2,1,,,,,,,
corr,SESGSC,0.812,0.325,0.29,0.226,0.668,1,,,,,,
corr,APIASC,0.556,0.624,0.338,0.325,0.618,0.567,1,,,,,
corr,SCAASC,0.25,0.66,0.342,0.5,0.266,0.312,0.539,1,,,,
corr,APIESC,0.151,0.412,0.723,-0.04,0.188,0.201,0.408,0.341,1,,,
corr,SCAESC,0.1,0.415,0.559,-0.007,0.107,0.14,0.329,0.536,0.694,1,,
corr,APIMSC,0.18,0.455,0.041,0.892,0.272,0.275,0.405,0.516,0.066,0.041,1,
corr,SCAMSC,0.133,0.401,0.015,0.843,0.193,0.189,0.351,0.612,-0.016,0.086,0.824,1
stddev,,14.563,11.723,9.867,16.951,9.394,5.063,9.556,4.919,11.191,5.727,11.606,7.986
mean,,75.792,57.83,57.569,49.043,76.768,31.467,73.802,30.301,61.794,28.933,47.223,26.223
