RA1	RA2	RC1	RC2	WO1	WO2	CC1	CC2	CC3	CC4	DM1	DM2	SS1	SS2	PS1	PS2	SE1	SE2	SE3	ELC1	ELC2	ELC3	ELC4	ELC5	EE1	EE2	EE3	DP1	DP2	PA1	PA2	PA3
5.67	3.5	1.33	3.5	3.67	4	3.67	1.67	3	3	4	3.5	4.33	4	5.67	4	3.67	4	3.33	3	3.75	4	4	3.6	3.67	3.33	2.67	1	1	7	6.5	6.67
2.67	2	4	3.5	3.67	2.5	2	3	3	3	4.33	4.5	3	3.5	4	3	3	3.5	3.67	2.8	3.25	2.8	2.5	2.2	4.33	2.67	2.33	2	1.5	7	6.5	4.67
4.33	3	2.33	3.5	3	3.5	3.67	3	3.33	4	4.33	5	4.67	5	5	5	3.67	4	4	3	3.5	3.4	1.75	2.8	3	3.33	2	2.33	1	5.67	6.5	6.67
3	5	3	3	5	4	2.67	2.67	3	2.5	3.33	4	3.33	3.5	5.33	5	4	3.75	4	2.8	2.5	3.4	2	2.2	5.67	6	5.67	4	3.5	5	6	6
1	1.5	1.33	1.5	3	1	3.33	2.67	2.33	3	5	4	6	5.5	5	4.5	4	4	4	2.6	3.25	2.4	2.25	2.48	3.67	4	2.67	3.67	4	5.33	6	6.67
2.33	1.5	3.33	2.5	3.33	2.5	2.33	2.33	3.33	1.5	4.33	6	5	5.5	4.33	5	4	4	4	3.2	3.25	2.2	2	2.6	7	5	4	1	1	5.67	5.5	6.33
1.33	1.5	3.33	4	3	1.5	3.33	3	3.33	3.5	5.67	6	5.67	6	5	6	4	4	3.33	2.6	3	3.4	2.5	3.6	3	3	2	1.67	1	7	7	7
3.67	2.5	4	5.5	5	5.5	3.33	3	3.67	3.5	3	5.5	3.33	3.5	3.33	3	4	3.5	3.33	4	3.5	3.4	3	3.6	6.33	6.33	6.33	4.33	3.5	4.33	6.5	5.67
3.33	1.5	3	3.5	4	3.5	2.33	2.67	3	3.5	3.33	3.5	4	4.5	4.33	4.5	3.67	3.85	4	2.8	2.75	2.8	1.75	2.4	4.33	4.33	3	2	1	5	5	6.33
3.33	4	4	5	4.67	3.5	2	2	2.67	2	3	3	3.33	3.5	3.33	3.5	2.67	2.25	2	2.8	2.5	2.6	2.5	2.6	6.67	6.67	6.67	5	5.5	3.33	4	5.67
